Eg,Eic,eff
0.41,0.07,26.94656894
0.41,0.08,27.06386636
0.41,0.09,27.17890301
0.41,0.1,27.29154829
0.41,0.11,27.39682595
0.41,0.12,27.44790246
0.41,0.13,27.29391025
0.41,0.14,27.13375365
0.41,0.15,26.97188638
0.41,0.16,26.80887765
0.41,0.17,26.64491605
0.41,0.18,26.48027636
0.41,0.19,26.31606994
0.41,0.2,26.15112277
0.41,0.21,26.15120473
0.41,0.22,26.31670518
0.41,0.23,26.48195297
0.41,0.24,26.64677375
0.41,0.25,26.80937591
0.41,0.26,26.9730838
0.41,0.27,27.13586739
0.41,0.28,27.29727289
0.41,0.29,27.4397765
0.41,0.3,27.37821272
0.41,0.31,27.27617208
0.41,0.32,27.16752073
0.41,0.33,27.055097
0.41,0.34,26.93970008
0.41,0.35,26.82179413
0.41,0.36,26.7016408
0.41,0.37,26.57922778
0.41,0.38,26.45466603
0.41,0.39,26.32801502
0.41,0.4,26.19928239
0.42,0.01,26.69394868
0.42,0.02,26.82832738
0.42,0.03,26.96088016
0.42,0.04,27.09154515
0.42,0.05,27.2202582
0.42,0.06,27.34695296
0.42,0.07,27.47156041
0.42,0.08,27.59400741
0.42,0.09,27.7142118
0.42,0.1,27.83206081
0.42,0.11,27.94714359
0.42,0.12,28.05029762
0.42,0.13,27.92088332
0.42,0.14,27.75468728
0.42,0.15,27.58623736
0.42,0.16,27.41645643
0.42,0.17,27.24564256
0.42,0.18,27.07388624
0.42,0.19,26.90232506
0.42,0.2,26.73040183
0.42,0.21,26.55780324
0.42,0.22,26.73071849
0.42,0.23,26.90345765
0.42,0.24,27.07585466
0.42,0.25,27.24770609
0.42,0.26,27.41726281
0.42,0.27,27.58785939
0.42,0.28,27.75736948
0.42,0.29,27.92497235
0.42,0.3,28.01624258
0.42,0.31,27.92558805
0.42,0.32,27.816891
0.42,0.33,27.70273388
0.42,0.34,27.58505321
0.42,0.35,27.46443237
0.42,0.36,27.34149179
0.42,0.37,27.21624435
0.42,0.38,27.0887614
0.42,0.39,26.9591481
0.42,0.4,26.8274601
0.42,0.41,26.69370015
0.43,0.01,27.17812686
0.43,0.02,27.31758246
0.43,0.03,27.45523161
0.43,0.04,27.59101198
0.43,0.05,27.72485892
0.43,0.06,27.8567056
0.43,0.07,27.98648266
0.43,0.08,28.11411702
0.43,0.09,28.23952826
0.43,0.1,28.36261414
0.43,0.11,28.48314061
0.43,0.12,28.59552903
0.43,0.13,28.54471924
0.43,0.14,28.37303239
0.43,0.15,28.19803169
0.43,0.16,28.02144348
0.43,0.17,27.84370067
0.43,0.18,27.66494707
0.43,0.19,27.48566844
0.43,0.2,27.30673685
0.43,0.21,27.12703504
0.43,0.22,27.12712589
0.43,0.23,27.30743466
0.43,0.24,27.48748133
0.43,0.25,27.66708796
0.43,0.26,27.84590422
0.43,0.27,28.02262145
0.43,0.28,28.20014722
0.43,0.29,28.37638072
0.43,0.3,28.54889458
0.43,0.31,28.56620451
0.43,0.32,28.46242389
0.43,0.33,28.34754292
0.43,0.34,28.22791939
0.43,0.35,28.10496134
0.43,0.36,27.97908201
0.43,0.37,27.85107988
0.43,0.38,27.72070681
0.43,0.39,27.58812365
0.43,0.4,27.45343052
0.43,0.41,27.316679
0.43,0.42,27.17786763
0.44,0.01,27.65194673
0.44,0.02,27.79650031
0.44,0.03,27.93926898
0.44,0.04,28.08019001
0.44,0.05,28.21919827
0.44,0.06,28.35622649
0.44,0.07,28.49120495
0.44,0.08,28.62406056
0.44,0.09,28.75471407
0.44,0.1,28.88306996
0.44,0.11,29.00895858
0.44,0.12,29.12643523
0.44,0.13,29.16393533
0.44,0.14,28.98871472
0.44,0.15,28.80726207
0.44,0.16,28.62385252
0.44,0.17,28.43912462
0.44,0.18,28.25331988
0.44,0.19,28.06653221
0.44,0.2,27.88015681
0.44,0.21,27.69327248
0.44,0.22,27.50566818
0.44,0.23,27.69362155
0.44,0.24,27.88139197
0.44,0.25,28.06880854
0.44,0.26,28.25567051
0.44,0.27,28.43989713
0.44,0.28,28.62546638
0.44,0.29,28.80994943
0.44,0.3,28.99283631
0.44,0.31,29.15857127
0.44,0.32,29.10156153
0.44,0.33,28.98883022
0.44,0.34,28.8680161
0.44,0.35,28.74294501
0.44,0.36,28.61468679
0.44,0.37,28.48362385
0.44,0.38,28.35043178
0.44,0.39,28.21490514
0.44,0.4,28.07719536
0.44,0.41,27.93739761
0.44,0.42,27.79556019
0.44,0.43,27.65167656
0.45,0.01,28.11530514
0.45,0.02,28.26497424
0.45,0.03,28.41288202
0.45,0.04,28.55896532
0.45,0.05,28.70315863
0.45,0.06,28.84539423
0.45,0.07,28.98560206
0.45,0.08,29.12370897
0.45,0.09,29.2596365
0.45,0.1,29.39329361
0.45,0.11,29.52454233
0.45,0.12,29.65253047
0.45,0.13,29.76137571
0.45,0.14,29.60157576
0.45,0.15,29.41390796
0.45,0.16,29.2236901
0.45,0.17,29.03194094
0.45,0.18,28.83901101
0.45,0.19,28.64500905
0.45,0.2,28.45066678
0.45,0.21,28.25656788
0.45,0.22,28.06166651
0.45,0.23,28.06176682
0.45,0.24,28.25733248
0.45,0.25,28.45262679
0.45,0.26,28.64746785
0.45,0.27,28.84158
0.45,0.28,29.03309475
0.45,0.29,29.22580861
0.45,0.3,29.41725855
0.45,0.31,29.60651716
0.45,0.32,29.72110669
0.45,0.33,29.62494164
0.45,0.34,29.50479808
0.45,0.35,29.37819409
0.45,0.36,29.2476821
0.45,0.37,29.11409903
0.45,0.38,28.97783287
0.45,0.39,28.83942647
0.45,0.4,28.6987218
0.45,0.41,28.55586263
0.45,0.42,28.41093948
0.45,0.43,28.26399689
0.45,0.44,28.11502407
0.46,0.01,28.56810384
0.46,0.02,28.72290259
0.46,0.03,28.87596554
0.46,0.04,29.02722919
0.46,0.05,29.17662764
0.46,0.06,29.32409278
0.46,0.07,29.46955423
