wl(um)	n	k
0.953	0.21937	6.04E+00
0.954	0.21961	6.05E+00
0.955	0.21985	6.05E+00
0.956	0.22009	6.06E+00
0.957	0.22033	6.07E+00
0.958	0.22057	6.08E+00
0.959	0.22081	6.08E+00
0.96	0.22105	6.09E+00
0.961	0.22129	6.10E+00
0.962	0.22153	6.10E+00
0.963	0.22177	6.11E+00
0.964	0.22201	6.12E+00
0.965	0.22225	6.12E+00
0.966	0.22249	6.13E+00
0.967	0.22273	6.14E+00
0.968	0.22298	6.14E+00
0.969	0.22322	6.15E+00
0.97	0.22347	6.16E+00
0.971	0.22372	6.16E+00
0.972	0.22396	6.17E+00
0.973	0.22421	6.18E+00
0.974	0.22445	6.18E+00
0.975	0.2247	6.19E+00
0.976	0.22494	6.20E+00
0.977	0.22519	6.20E+00
0.978	0.22543	6.21E+00
0.979	0.22568	6.22E+00
0.98	0.22592	6.23E+00
0.981	0.22617	6.23E+00
0.982	0.22641	6.24E+00
0.983	0.22666	6.25E+00
0.984	0.22691	6.25E+00
0.985	0.22715	6.26E+00
0.986	0.2274	6.27E+00
0.987	0.22764	6.27E+00
0.988	0.22789	6.28E+00
0.989	0.22814	6.29E+00
0.99	0.2284	6.29E+00
0.991	0.22865	6.30E+00
0.992	0.2289	6.31E+00
0.993	0.22915	6.31E+00
0.994	0.2294	6.32E+00
0.995	0.22965	6.33E+00
0.996	0.2299	6.33E+00
0.997	0.23015	6.34E+00
0.998	0.2304	6.35E+00
0.999	0.23065	6.35E+00
1	0.2309	6.36E+00
1.001	0.23116	6.37E+00
1.002	0.23141	6.37E+00
1.003	0.23166	6.38E+00
1.004	0.23191	6.39E+00
1.005	0.23216	6.40E+00
1.006	0.23241	6.40E+00
1.007	0.23266	6.41E+00
1.008	0.23292	6.42E+00
1.009	0.23317	6.42E+00
1.01	0.23343	6.43E+00
1.011	0.23368	6.44E+00
1.012	0.23394	6.44E+00
1.013	0.2342	6.45E+00
1.014	0.23445	6.46E+00
1.015	0.23471	6.46E+00
1.016	0.23497	6.47E+00
1.017	0.23522	6.48E+00
1.018	0.23548	6.48E+00
1.019	0.23574	6.49E+00
1.02	0.23599	6.50E+00
1.021	0.23625	6.50E+00
1.022	0.23651	6.51E+00
1.023	0.23676	6.52E+00
1.024	0.23702	6.52E+00
