wl(um)	n	k
1.161	3.4641	0.0029885
1.162	3.4637	0.0029588
1.163	3.4634	0.0029298
1.164	3.463	0.0029015
1.165	3.4627	0.0028739
1.166	3.4623	0.0028469
1.167	3.462	0.0028204
1.168	3.4616	0.0027946
1.169	3.4613	0.0027693
1.17	3.461	0.0027446
1.171	3.4606	0.0027204
1.172	3.4603	0.0026966
1.173	3.4599	0.0026734
1.174	3.4596	0.0026506
1.175	3.4593	0.0026283
1.176	3.459	0.0026064
1.177	3.4586	0.002585
1.178	3.4583	0.0025639
1.179	3.458	0.0025433
1.18	3.4576	0.002523
1.181	3.4573	0.0025031
1.182	3.457	0.0024836
1.183	3.4567	0.0024644
1.184	3.4564	0.0024456
1.185	3.456	0.002427
1.186	3.4557	0.0024088
1.187	3.4554	0.0023909
1.188	3.4551	0.0023734
1.189	3.4548	0.0023561
1.19	3.4545	0.002339
1.191	3.4542	0.0023223
1.192	3.4539	0.0023058
1.193	3.4536	0.0022896
1.194	3.4533	0.0022737
1.195	3.453	0.002258
1.196	3.4527	0.0022425
1.197	3.4524	0.0022273
1.198	3.4521	0.0022123
1.199	3.4518	0.0021975
1.2	3.4515	0.002183
