wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
824,1.0657762e-05,0,0.012548949,0.010363693,0.047685114,9.863228e-20,0.00037907104,0.059959467,0.070256679,0.070682384
825,1.0733803e-05,0,0.012555861,0.010473493,0.048047532,2.3243569e-19,0.00038834464,0.060321609,0.070729786,0.071165319
826,1.0753535e-05,0,0.012494049,0.01052934,0.048152042,3.6197063e-19,0.00039586327,0.060361101,0.070827033,0.071270097
827,1.0757774e-05,0,0.012411873,0.010570642,0.048180814,4.8633745e-19,0.00040305246,0.060307652,0.070817283,0.071267163
828,1.0646241e-05,0,0.012194789,0.01049823,0.047684317,5.9866971e-19,0.00040605912,0.059600021,0.070040662,0.070492341
829,1.0607173e-05,0,0.012059716,0.010497036,0.047505375,7.0720966e-19,0.00041195376,0.059293131,0.069735963,0.0701923
830,1.0622869e-05,0,0.011984814,0.010550122,0.047564407,8.122855e-19,0.00042018632,0.059286278,0.069785694,0.070248888
831,1.0632184e-05,0,0.01190016,0.010597005,0.047587233,9.0959694e-19,0.00042841298,0.059237149,0.069787389,0.070257017
832,1.0427127e-05,0,0.011574993,0.01042946,0.046643159,9.7879396e-19,0.0004280818,0.057989028,0.068376933,0.068843243
833,1.0581105e-05,0,0.011646461,0.010620658,0.047297106,1.0725385e-18,0.00044268041,0.058731435,0.069314705,0.069793533
834,1.0619848e-05,0,0.011586845,0.010696559,0.047426843,1.1466794e-18,0.00045283823,0.058825258,0.069489503,0.069975528
835,1.0765169e-05,0,0.011639244,0.010880019,0.048022917,1.223451e-18,0.0004679211,0.05950022,0.070353185,0.070851151
836,1.0701181e-05,0,0.011462036,0.010851676,0.047675797,1.2662818e-18,0.00047420403,0.059010134,0.069841006,0.07034103
837,1.0764277e-05,0,0.01141842,0.010951542,0.047885479,1.3129014e-18,0.00048634915,0.059213496,0.070150661,0.070658422
838,1.0637275e-05,0,0.011171292,0.01085703,0.047240413,1.324445e-18,0.00049007755,0.058364633,0.069214349,0.06972058
839,1.0765864e-05,0,0.011190005,0.011022512,0.047720556,1.3554829e-18,0.00050581199,0.058910561,0.069933073,0.070449651
840,1.0835626e-05,0,0.011109799,0.011118451,0.047789378,1.3205207e-18,0.00052222442,0.058947323,0.070075332,0.070602842
841,1.0686221e-05,0,0.010742603,0.010971118,0.04662388,1.1611658e-18,0.0005337932,0.057456684,0.068450033,0.068984244
842,1.0800425e-05,0,0.010584425,0.011077021,0.046363346,9.4166561e-19,0.0005636777,0.057077064,0.068192333,0.068752282
843,1.082976e-05,0,0.010290769,0.011079657,0.045510385,6.3341002e-19,0.00059393821,0.055963889,0.067099963,0.06768669
844,1.1272238e-05,0,0.010333822,0.011488704,0.046156977,2.6679521e-19,0.00065197193,0.056689327,0.068257264,0.068898808
845,1.1525725e-05,0,0.010146547,0.01168888,0.045790921,-1.860688e-19,0.00070429089,0.056165016,0.067957014,0.068648324
846,1.1448515e-05,0,0.009636748,0.011541225,0.043960279,-6.8516058e-19,0.0007393077,0.053842504,0.065508663,0.066233389
847,1.1804372e-05,0,0.0094631597,0.011818473,0.043654889,-1.2559974e-18,0.00080491124,0.053386471,0.06535701,0.066145721
848,1.2059776e-05,0,0.0091741356,0.011982626,0.042819454,-1.8674635e-18,0.00086687161,0.052279029,0.064440336,0.065289992
849,1.1238455e-05,0,0.0080856647,0.01107515,0.038203122,-2.2964883e-18,0.00084971129,0.0465615,0.05782412,0.058657598
850,1.2699222e-05,0,0.0086146673,0.012406204,0.041226171,-3.227249e-18,0.0010073423,0.050152832,0.062793329,0.06378253
851,1.2990945e-05,0,0.0082857199,0.012576436,0.040186262,-3.9437537e-18,0.0010781467,0.048791692,0.061629227,0.062689385
852,1.328341e-05,0,0.0079450686,0.012739723,0.039078485,-4.6777865e-18,0.0011501455,0.047348033,0.060374822,0.061507466
853,1.21473e-05,0,0.0067970384,0.011539293,0.033927492,-4.8518904e-18,0.0010942117,0.041016696,0.05283505,0.053914302
854,1.3380169e-05,0,0.006988408,0.012588017,0.035425995,-5.9546619e-18,0.001250439,0.042729017,0.055640509,0.05687582
855,1.4758532e-05,0,0.0071799638,0.013750215,0.036992975,-7.2129064e-18,0.0014271501,0.044510014,0.058632319,0.060044443
856,1.5476606e-05,0,0.0069992913,0.014279385,0.036683308,-8.2071258e-18,0.0015446477,0.044023916,0.05870689,0.060237652
857,1.5999495e-05,0,0.0067137168,0.014619173,0.035824722,-9.1130302e-18,0.0016441819,0.04287728,0.057924763,0.059556616
858,1.6478943e-05,0,0.0064043996,0.014912792,0.034827014,-9.9944343e-18,0.001739758,0.041564815,0.056927311,0.058656515
859,1.6914819e-05,0,0.0060778631,0.015161847,0.033716671,-1.0841965e-17,0.0018307621,0.040119831,0.055749136,0.057571289
860,1.742279e-05,0,0.0057783134,0.015470653,0.032735156,-1.1725208e-17,0.00192947,0.03883041,0.0547856,0.05670849
861,1.8079405e-05,0,0.0055252553,0.015905193,0.032001793,-1.2700945e-17,0.0020448893,0.037836627,0.0542447,0.056285102
862,1.8729343e-05,0,0.0052659688,0.016326888,0.03121926,-1.3664322e-17,0.002159925,0.03678562,0.053630405,0.055788052
863,1.885637e-05,0,0.0048699215,0.016290338,0.029588651,-1.4221094e-17,0.0022137155,0.034740397,0.051545933,0.053759667
864,1.9067064e-05,0,0.0045164443,0.01632726,0.028158854,-1.4803249e-17,0.0022754136,0.032939432,0.049778241,0.052055919
865,1.7266838e-05,0,0.0037457688,0.014657713,0.023996362,-1.3747865e-17,0.0020917595,0.02796256,0.043072208,0.045167956
866,1.9112191e-05,0,0.0037918792,0.016086192,0.024993299,-1.5551386e-17,0.002347373,0.02900861,0.045579446,0.047933261
867,2.0538621e-05,0,0.0037220199,0.017142218,0.025274824,-1.7024207e-17,0.0025544829,0.029215188,0.046858199,0.049421646
868,2.0833877e-05,0,0.0034447156,0.017245659,0.024130239,-1.7538743e-17,0.0026210964,0.027774768,0.045504808,0.048136921
869,2.1735339e-05,0,0.0032758746,0.017846285,0.023700417,-1.8531123e-17,0.0027631987,0.027162634,0.045486191,0.048262729
870,2.1923201e-05,0,0.0030099917,0.017857108,0.022515069,-1.8879225e-17,0.0028135951,0.025691254,0.043997978,0.046826721
871,2.2708177e-05,0,0.0028394177,0.018351221,0.021977509,-1.9701344e-17,0.0029393794,0.024967146,0.043747553,0.046704193
872,2.2956224e-05,0,0.0026147645,0.018407886,0.020952917,-2.0015865e-17,0.0029944388,0.023698032,0.042499182,0.045512469
873,2.3009406e-05,0,0.0023894623,0.018309222,0.01982447,-2.0113778e-17,0.0030220906,0.022323713,0.040982671,0.044024862
874,2.311986e-05,0,0.002192678,0.018257688,0.018824865,-2.0214263e-17,0.0030551823,0.021107594,0.039668227,0.04274462
875,2.4207453e-05,0,0.00210237,0.018972968,0.018653075,-2.111941e-17,0.0032160938,0.020829288,0.040064626,0.043303777
876,2.4704027e-05,0,0.0019724891,0.019217781,0.018044563,-2.1455094e-17,0.0032973569,0.020072345,0.039497666,0.042819194
877,2.5029713e-05,0,0.0018473409,0.019326725,0.017364646,-2.1587469e-17,0.0033540893,0.019248501,0.038720053,0.042099051
878,2.4983243e-05,0,0.0017166232,0.019148263,0.016500208,-2.1345302e-17,0.003358917,0.018234635,0.03745755,0.040841512
879,2.5417388e-05,0,0.0016405292,0.01933723,0.016023556,-2.1457274e-17,0.0034263494,0.017664085,0.037001315,0.040453082
880,2.4982889e-05,0,0.0015214181,0.018860259,0.015042452,-2.0783667e-17,0.0033751259,0.016547607,0.035341047,0.038741294
881,2.6002007e-05,0,0.0014919828,0.019466459,0.014927223,-2.1262368e-17,0.0035194797,0.016387574,0.035734926,0.039281312
882,2.6227884e-05,0,0.0014159654,0.019461403,0.01433077,-2.1030211e-17,0.0035558846,0.015702079,0.035011476,0.03859581
